date_2,hour,week,dayname,weekend,day_period,RSSI,heatIndex,humidity,pm25,temperature,daily_min_RSSI,daily_min_heatIndex,daily_min_humidity,daily_min_pm25,daily_min_temperature,daily_max_RSSI,daily_max_heatIndex,daily_max_humidity,daily_max_pm25,daily_max_temperature,daily_mean_RSSI,daily_mean_heatIndex,daily_mean_humidity,daily_mean_pm25,daily_mean_temperature,daily_std_RSSI,daily_std_heatIndex,daily_std_humidity,daily_std_pm25,daily_std_temperature,RSSI_day_ago,heatIndex_day_ago,humidity_day_ago,pm25_day_ago,temperature_day_ago,RSSI_week_ago,heatIndex_week_ago,humidity_week_ago,pm25_week_ago,temperature_week_ago,RSSI_two_week_ago,heatIndex_two_week_ago,humidity_two_week_ago,pm25_two_week_ago,temperature_two_week_ago
2019-05-22,0,21,Wednesday,False,evening,-121.21,35.47,75.73,32.7,29.63,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,1,21,Wednesday,False,evening,-119.48,38.35,70.83,29.0,31.19,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,2,21,Wednesday,False,evening,-122.37,42.36,67.17,27.55,33.03,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,3,21,Wednesday,False,evening,-121.12,43.34,64.51,24.83,33.73,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,4,21,Wednesday,False,morning,-120.75,43.55,63.83,21.6,33.9,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,5,21,Wednesday,False,morning,-121.67,44.2,61.61,21.35,34.46,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,6,21,Wednesday,False,morning,-119.51,40.64,67.85,14.94,32.36,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,7,21,Wednesday,False,morning,-120.7,33.4,75.36,10.33,28.85,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,8,21,Wednesday,False,morning,-126.93,32.38,76.23,6.17,28.36,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,9,21,Wednesday,False,morning,-129.09,32.35,78.29,7.89,28.21,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
2019-05-22,10,21,Wednesday,False,noon,-123.03,33.2,79.31,11.38,28.48,-134.1,32.1,61.61,6.17,27.84,-116.0,44.2,83.13,32.7,34.46,-124.4091304347826,35.279999999999994,76.59434782608695,21.548260869565215,29.55130434782609,4.407961715148332,4.319345489139003,7.011329031118767,7.072731664751676,2.2702709176496283,,,,,,,,,,,,,,,
